Metodo,sizes,nroMatriz,tiempo
C,100,0,435893
C,100,0,418424
C,100,0,416732
C,100,0,430783
C,100,0,416626
C,100,0,453929
C,100,0,416420
C,100,0,416131
C,100,0,445607
C,100,0,432964
C,100,1,418532
C,100,1,447710
C,100,1,415555
C,100,1,415172
C,100,1,415365
C,100,1,415386
C,100,1,415366
C,100,1,415412
C,100,1,415168
C,100,1,415259
C,100,2,414500
C,100,2,416281
C,100,2,438642
C,100,2,415422
C,100,2,415425
C,100,2,415268
C,100,2,417137
C,100,2,463387
C,100,2,415839
C,100,2,415829
C,100,3,415634
C,100,3,416773
C,100,3,416122
C,100,3,415673
C,100,3,442708
C,100,3,415784
C,100,3,416790
C,100,3,417168
C,100,3,415457
C,100,3,415460
C,100,4,438243
C,100,4,442992
C,100,4,415782
C,100,4,430790
C,100,4,471011
C,100,4,501852
C,100,4,733098
C,100,4,749722
C,100,4,768622
C,100,4,815896
C,100,5,816188
C,100,5,690851
C,100,5,725005
C,100,5,678594
C,100,5,769307
C,100,5,744185
C,100,5,512950
C,100,5,416442
C,100,5,416113
C,100,5,415775
C,100,6,415823
C,100,6,416971
C,100,6,449678
C,100,6,415698
C,100,6,419986
C,100,6,419970
C,100,6,415541
C,100,6,415685
C,100,6,415483
C,100,6,415496
C,100,7,435391
C,100,7,498863
C,100,7,470778
C,100,7,716070
C,100,7,534950
C,100,7,474199
C,100,7,499031
C,100,7,547776
C,100,7,532032
C,100,7,415687
C,100,8,861569
C,100,8,558677
C,100,8,728185
C,100,8,490972
C,100,8,443093
C,100,8,415659
C,100,8,416052
C,100,8,416176
C,100,8,455709
C,100,8,416321
C,100,9,415382
C,100,9,417246
C,100,9,419657
C,100,9,417903
C,100,9,415680
C,100,9,447529
C,100,9,415302
C,100,9,415459
C,100,9,415636
C,100,9,415605
C,200,10,2519450
C,200,10,2650550
C,200,10,2624430
C,200,10,2584150
C,200,10,2616590
C,200,10,2590120
C,200,10,2555600
C,200,10,2616060
C,200,10,2625450
C,200,10,2609730
C,200,11,2572530
C,200,11,2578680
C,200,11,2588090
C,200,11,2663100
C,200,11,2628370
C,200,11,2611980
C,200,11,2587980
C,200,11,2592320
C,200,11,2607020
C,200,11,2600400
C,200,12,2572010
C,200,12,2640890
C,200,12,2587180
C,200,12,2590470
C,200,12,2808960
C,200,12,4301400
C,200,12,4257990
C,200,12,3413370
C,200,12,2647880
C,200,12,2708500
C,200,13,4219380
C,200,13,2920050
C,200,13,2614330
C,200,13,2648010
C,200,13,2592010
C,200,13,2564280
C,200,13,2568760
C,200,13,2665380
C,200,13,2585110
C,200,13,2605970
C,200,14,2523200
C,200,14,2558010
C,200,14,2595720
C,200,14,2618590
C,200,14,2575750
C,200,14,2638060
C,200,14,2707530
C,200,14,2670430
C,200,14,2572670
C,200,14,2655240
C,200,15,2529070
C,200,15,2693270
C,200,15,2645060
C,200,15,2560670
C,200,15,2583870
C,200,15,2686770
C,200,15,2579070
C,200,15,2604060
C,200,15,2603920
C,200,15,2593860
C,200,16,2535950
C,200,16,2601210
C,200,16,2599630
C,200,16,2655930
C,200,16,2597690
C,200,16,2584100
C,200,16,2581360
C,200,16,2620780
C,200,16,2636380
C,200,16,2628420
C,200,17,2529960
C,200,17,2553660
C,200,17,2624990
C,200,17,2657650
C,200,17,2573770
C,200,17,2617190
C,200,17,2594420
C,200,17,2603590
C,200,17,2600080
C,200,17,2643640
C,200,18,2515680
C,200,18,2590260
C,200,18,2625250
C,200,18,2577000
C,200,18,2576800
C,200,18,2595980
C,200,18,2605290
C,200,18,2622540
C,200,18,2565680
C,200,18,2555700
C,200,19,2553790
C,200,19,2592530
C,200,19,2623370
C,200,19,2598520
C,200,19,2561470
C,200,19,2586020
C,200,19,2599010
C,200,19,2599460
C,200,19,2570890
C,200,19,2668700
C,300,20,7972950
C,300,20,8281790
C,300,20,8266160
C,300,20,8214160
C,300,20,9479170
C,300,20,8357400
C,300,20,8262210
C,300,20,8203260
C,300,20,8151760
C,300,20,8176330
C,300,21,7884190
C,300,21,8375440
C,300,21,8408480
C,300,21,8309390
C,300,21,8197760
C,300,21,8154770
C,300,21,8180830
C,300,21,8171810
C,300,21,8135650
C,300,21,8205680
C,300,22,7911870
C,300,22,8224200
C,300,22,8194220
C,300,22,8165520
C,300,22,8207480
C,300,22,8248880
C,300,22,8184650
C,300,22,8224560
C,300,22,8176650
C,300,22,8197260
C,300,23,8011640
C,300,23,8400570
C,300,23,8309210
C,300,23,8207350
C,300,23,8296480
C,300,23,8321140
C,300,23,8287190
C,300,23,8306020
C,300,23,8324610
C,300,23,8231900
C,300,24,8043130
C,300,24,8302190
C,300,24,8496540
C,300,24,8376320
C,300,24,8235470
C,300,24,8238350
C,300,24,8154150
C,300,24,8158340
C,300,24,8166220
C,300,24,8208060
C,300,25,8041920
C,300,25,8385540
C,300,25,8206480
C,300,25,8227080
C,300,25,8176820
C,300,25,8230750
C,300,25,8186330
C,300,25,8150790
C,300,25,8264020
C,300,25,8176500
C,300,26,7993400
C,300,26,8249620
C,300,26,8342300
C,300,26,8326680
C,300,26,8226630
C,300,26,8223140
C,300,26,8192190
C,300,26,8302740
C,300,26,8796820
C,300,26,8268820
C,300,27,7981660
C,300,27,8194890
C,300,27,8367020
C,300,27,8247890
C,300,27,8269430
C,300,27,8261600
C,300,27,8263340
C,300,27,8281500
C,300,27,8212890
C,300,27,8330140
C,300,28,8068710
C,300,28,8468820
C,300,28,8425350
C,300,28,8273590
C,300,28,8325610
C,300,28,8189260
C,300,28,8375810
C,300,28,8194610
C,300,28,8214710
C,300,28,8212290
C,300,29,7945650
C,300,29,8259700
C,300,29,8152650
C,300,29,8172920
C,300,29,8179260
C,300,29,8201180
C,300,29,8202210
C,300,29,8119820
C,300,29,8280860
