Metodo,sizes,nroMatriz,tiempo
G,100,0,693852
G,100,0,632919
G,100,0,631670
G,100,0,631326
G,100,0,630887
G,100,0,630774
G,100,0,650500
G,100,0,631063
G,100,0,630866
G,100,0,630512
G,100,1,631127
G,100,1,630801
G,100,1,645479
G,100,1,611213
G,100,1,611104
G,100,1,611329
G,100,1,611555
G,100,1,611195
G,100,1,652058
G,100,1,611531
G,100,2,627234
G,100,2,611310
G,100,2,611433
G,100,2,611125
G,100,2,634002
G,100,2,611460
G,100,2,611263
G,100,2,611113
G,100,2,611299
G,100,2,611238
G,100,3,640282
G,100,3,611544
G,100,3,619650
G,100,3,618951
G,100,3,611269
G,100,3,619083
G,100,3,618822
G,100,3,633140
G,100,3,611421
G,100,3,611193
G,100,4,611165
G,100,4,611858
G,100,4,611318
G,100,4,640335
G,100,4,627270
G,100,4,611208
G,100,4,611763
G,100,4,611564
G,100,4,611228
G,100,4,633665
G,100,5,611442
G,100,5,627057
G,100,5,611604
G,100,5,611548
G,100,5,611237
G,100,5,632946
G,100,5,611830
G,100,5,611472
G,100,5,611686
G,100,5,611249
G,100,6,611526
G,100,6,631599
G,100,6,611466
G,100,6,611390
G,100,6,611645
G,100,6,610970
G,100,6,619522
G,100,6,618545
G,100,6,624254
G,100,6,627185
G,100,7,611564
G,100,7,611801
G,100,7,611300
G,100,7,611276
G,100,7,624738
G,100,7,611482
G,100,7,611350
G,100,7,619880
G,100,7,619886
G,100,7,611438
G,100,8,623822
G,100,8,611466
G,100,8,626871
G,100,8,611580
G,100,8,611326
G,100,8,611407
G,100,8,631905
G,100,8,611542
G,100,8,611256
G,100,8,611055
G,100,9,611684
G,100,9,611215
G,100,9,630425
G,100,9,611420
G,100,9,611420
G,100,9,626832
G,100,9,611382
G,100,9,626957
G,100,9,631235
G,100,9,611493
G,200,10,4905990
G,200,10,4855480
G,200,10,4877560
G,200,10,4854010
G,200,10,4841490
G,200,10,4847050
G,200,10,4848090
G,200,10,4846310
