Metodo,sizes,nroTermIndpte,tiempo
G,100,0,1.12667e+06
G,100,0,1.04726e+06
G,100,0,1.05307e+06
G,100,0,1.10592e+06
G,100,0,1.04448e+06
G,100,0,1.04318e+06
G,100,0,970065
G,100,0,556805
G,100,0,556241
G,100,0,610150
C,100,0,988252
C,100,0,78229
C,100,0,78110
C,100,0,77743
C,100,0,77648
C,100,0,77708
C,100,0,77646
C,100,0,77525
C,100,0,77353
C,100,0,77449
G,100,1,592237
G,100,1,590909
G,100,1,631569
G,100,1,873451
G,100,1,953924
G,100,1,765823
G,100,1,558116
G,100,1,591787
G,100,1,556829
G,100,1,556321
C,100,1,101453
C,100,1,79731
C,100,1,77774
C,100,1,77642
C,100,1,77622
C,100,1,77485
C,100,1,77398
C,100,1,77226
C,100,1,77510
C,100,1,77183
G,100,2,557817
G,100,2,556536
G,100,2,589486
G,100,2,646502
G,100,2,557002
G,100,2,556513
G,100,2,556277
G,100,2,556175
G,100,2,556087
G,100,2,592887
C,100,2,79137
C,100,2,77287
C,100,2,77528
C,100,2,77484
C,100,2,77556
C,100,2,77236
C,100,2,77513
C,100,2,77485
C,100,2,77647
C,100,2,77485
G,100,3,584735
G,100,3,556975
G,100,3,556451
G,100,3,556009
G,100,3,573985
G,100,3,585352
G,100,3,574331
G,100,3,580298
G,100,3,877572
G,100,3,983291
C,100,3,154651
C,100,3,112266
C,100,3,132638
C,100,3,77805
C,100,3,77633
C,100,3,77526
C,100,3,77332
C,100,3,77262
C,100,3,77189
C,100,3,77455
G,100,4,560948
G,100,4,557475
G,100,4,556483
G,100,4,561960
G,100,4,556589
G,100,4,588539
G,100,4,556558
G,100,4,588813
G,100,4,556896
G,100,4,556305
C,100,4,78302
C,100,4,77221
C,100,4,77741
C,100,4,77304
C,100,4,77271
C,100,4,77274
C,100,4,84003
C,100,4,77782
C,100,4,76969
C,100,4,77129
G,100,5,557788
G,100,5,587908
G,100,5,617111
G,100,5,569753
G,100,5,607830
G,100,5,589883
G,100,5,556978
G,100,5,556370
G,100,5,600788
G,100,5,574721
C,100,5,77893
C,100,5,77187
C,100,5,76878
C,100,5,76970
C,100,5,92142
C,100,5,92160
C,100,5,77025
C,100,5,76895
C,100,5,91491
C,100,5,82688
G,100,6,600023
G,100,6,842938
G,100,6,897409
G,100,6,849065
G,100,6,558642
G,100,6,556919
G,100,6,556355
