



















Metodo,sizes,nroMatriz,tiempo
G,100,0,673022
G,100,0,690533
G,100,0,643122
G,100,0,636397
G,100,0,679253
G,100,0,636799
G,100,0,635775
G,100,0,668387
G,100,0,635979
G,100,0,664709
G,100,1,640909
G,100,1,635855
G,100,1,640761
G,100,1,667279
G,100,1,641428
G,100,1,640968
G,100,1,635762
G,100,1,696935
G,100,1,680587
G,100,1,705311
G,100,2,636631
G,100,2,635895
G,100,2,635715
G,100,2,640972
G,100,2,695465
G,100,2,724431
G,100,2,709356
G,100,2,709022
G,100,2,709021
G,100,2,709046
G,100,3,717632
G,100,3,757567
G,100,3,696493
G,100,3,659655
G,100,3,635606
G,100,3,635653
G,100,3,673888
G,100,3,642269
G,100,3,657951
G,100,3,640576
G,100,4,640979
G,100,4,668197
G,100,4,640991
G,100,4,635789
G,100,4,640222
G,100,4,674136
G,100,4,736068
G,100,4,677418
G,100,4,636191
G,100,4,660201
G,100,5,635987
G,100,5,635785
G,100,5,635695
G,100,5,696230
G,100,5,636118
G,100,5,640914
G,100,5,635826
G,100,5,640793
G,100,5,635878
G,100,5,669597
G,100,6,641108
G,100,6,635888
G,100,6,748597
G,100,6,682675
G,100,6,659454
G,100,6,663049
G,100,6,635796
G,100,6,659131
G,100,6,641507
G,100,6,635667
G,100,7,635995
G,100,7,668197
G,100,7,635930
G,100,7,640790
G,100,7,635699
G,100,7,640510
G,100,7,671293
G,100,7,744558
G,100,7,661211
G,100,7,641648
G,100,8,636035
G,100,8,640883
G,100,8,686468
G,100,8,732211
G,100,8,681328
G,100,8,636254
G,100,8,640969
G,100,8,635808
G,100,8,763795
G,100,8,661140
G,100,9,635990
G,100,9,659944
G,100,9,635726
G,100,9,669043
G,100,9,675895
G,100,9,650313
G,100,9,636100
G,100,9,696984
G,100,9,709380
G,100,9,709012
G,200,10,5.4627e+06
G,200,10,5.17559e+06
G,200,10,5.38864e+06
G,200,10,5.32858e+06
G,200,10,5.19095e+06
G,200,10,5.17676e+06
G,200,10,5.32113e+06
G,200,10,5.38551e+06
G,200,10,5.29259e+06
G,200,10,5.52039e+06
G,200,11,5.30523e+06
G,200,11,5.276e+06
G,200,11,5.33376e+06
G,200,11,5.23485e+06
G,200,11,5.36102e+06
G,200,11,5.17581e+06
G,200,11,5.37561e+06
G,200,11,5.34684e+06
G,200,11,5.61493e+06
G,200,11,5.19703e+06
G,200,12,5.13257e+06
G,200,12,5.1693e+06
G,200,12,5.13738e+06
G,200,12,5.16832e+06
G,200,12,5.10544e+06
G,200,12,5.1509e+06
G,200,12,5.11496e+06
G,200,12,5.29255e+06
G,200,12,5.68754e+06
G,200,12,5.67477e+06
G,200,13,5.33799e+06
G,200,13,5.4914e+06
G,200,13,5.18494e+06
G,200,13,5.34432e+06
G,200,13,5.46677e+06
G,200,13,5.39184e+06
G,200,13,5.44374e+06
G,200,13,5.5693e+06
G,200,13,5.37865e+06
G,200,13,5.27633e+06
G,200,14,5.18929e+06
G,200,14,5.16108e+06
G,200,14,5.19119e+06
G,200,14,5.16428e+06
G,200,14,5.17828e+06
G,200,14,5.19011e+06
G,200,14,5.44681e+06
G,200,14,5.6819e+06
G,200,14,5.17357e+06
G,200,14,5.11321e+06
G,200,15,5.16228e+06
G,200,15,5.12468e+06
G,200,15,5.10395e+06
G,200,15,5.15721e+06
G,200,15,5.13999e+06
G,200,15,5.24224e+06
G,200,15,5.7027e+06
G,200,15,5.50692e+06
G,200,15,5.36947e+06
G,200,15,5.24273e+06
G,200,16,5.19257e+06
G,200,16,5.42418e+06
G,200,16,5.17218e+06
G,200,16,5.34241e+06
G,200,16,5.24361e+06
G,200,16,5.40471e+06
G,200,16,5.17546e+06
G,200,16,5.42406e+06
G,200,16,5.22254e+06
G,200,16,5.34461e+06
G,200,17,5.37899e+06
G,200,17,5.14365e+06
G,200,17,5.38991e+06
G,200,17,5.2283e+06
G,200,17,5.70475e+06
G,200,17,5.30853e+06
G,200,17,5.37882e+06
G,200,17,5.20056e+06
G,200,17,5.38216e+06
G,200,17,5.36249e+06
G,200,18,5.16294e+06
G,200,18,5.40889e+06
G,200,18,5.18111e+06
G,200,18,5.2955e+06
G,200,18,5.71356e+06
G,200,18,5.15186e+06
G,200,18,5.21831e+06
G,200,18,5.30388e+06
G,200,18,5.19937e+06
G,200,18,5.12293e+06
G,200,19,5.32745e+06
G,200,19,5.17548e+06
G,200,19,5.33609e+06
G,200,19,5.52734e+06
G,200,19,5.55925e+06
G,200,19,5.11698e+06
G,200,19,5.15686e+06
G,200,19,5.10913e+06
G,200,19,5.12699e+06
G,200,19,5.15383e+06
G,300,20,1.95336e+07
G,300,20,1.91746e+07
G,300,20,1.90329e+07
G,300,20,1.98273e+07
G,300,20,1.8729e+07
G,300,20,1.89726e+07
G,300,20,1.96348e+07
G,300,20,1.88815e+07
G,300,20,1.96354e+07
G,300,20,1.92201e+07
G,300,21,1.96154e+07
G,300,21,1.99669e+07
G,300,21,1.93285e+07
G,300,21,2.11927e+07
G,300,21,1.89843e+07
G,300,21,1.92434e+07
G,300,21,1.97563e+07
G,300,21,1.95311e+07
G,300,21,1.98408e+07
G,300,21,1.92066e+07
G,300,22,1.93288e+07
G,300,22,1.96171e+07
G,300,22,1.93603e+07
G,300,22,1.9967e+07
G,300,22,1.94416e+07
G,300,22,1.92917e+07
G,300,22,1.99382e+07
G,300,22,1.95086e+07
G,300,22,1.96491e+07
G,300,22,1.93159e+07
G,300,23,1.87648e+07
G,300,23,1.94835e+07
G,300,23,1.96599e+07
G,300,23,1.94363e+07
G,300,23,1.96965e+07
G,300,23,1.94459e+07
G,300,23,2.46394e+07
G,300,23,4.08105e+07
G,300,23,4.89015e+07
G,300,23,4.52669e+07
G,300,24,4.14864e+07
G,300,24,3.73149e+07
G,300,24,2.80713e+07
G,300,24,1.90855e+07
G,300,24,1.87603e+07
G,300,24,1.97298e+07
G,300,24,1.91073e+07
G,300,24,1.87129e+07
G,300,24,1.92415e+07
G,300,24,2.8805e+07
G,300,25,1.96337e+07
G,300,25,3.16194e+07
G,300,25,4.05269e+07
G,300,25,3.66137e+07
G,300,25,4.20552e+07
G,300,25,3.84218e+07
G,300,25,4.15476e+07
G,300,25,3.4893e+07
G,300,25,4.16493e+07
G,300,25,4.00034e+07
G,300,26,4.22986e+07
G,300,26,2.22226e+07
G,300,26,1.92753e+07
G,300,26,1.9695e+07
G,300,26,1.94367e+07
G,300,26,1.95484e+07
G,300,26,1.98287e+07
G,300,26,1.9326e+07
G,300,26,1.95009e+07
G,300,26,1.92042e+07
G,300,27,1.9067e+07
G,300,27,1.98082e+07
G,300,27,1.91517e+07
G,300,27,1.90769e+07
G,300,27,1.93441e+07
G,300,27,1.88021e+07
G,300,27,1.97619e+07
G,300,27,1.93641e+07
G,300,27,1.93838e+07
G,300,27,1.95545e+07
G,300,28,1.88536e+07
G,300,28,1.93517e+07
G,300,28,1.94606e+07
G,300,28,1.93464e+07
G,300,28,2.00091e+07
G,300,28,1.91894e+07
G,300,28,1.93092e+07
G,300,28,1.92871e+07
G,300,28,1.894e+07
G,300,28,1.98607e+07
G,300,29,1.88237e+07
G,300,29,3.96706e+07
G,300,29,2.56691e+07
G,300,29,2.04074e+07
G,300,29,1.89541e+07
G,300,29,1.90832e+07
G,300,29,1.96013e+07
G,300,29,1.96476e+07
G,300,29,2.01503e+07
G,300,29,1.95352e+07
G,400,30,6.90906e+07
G,400,30,6.24654e+07
G,400,30,6.2026e+07
G,400,30,6.30671e+07
G,400,30,7.82169e+07
G,400,30,1.85244e+08
G,400,30,1.25776e+08
G,400,30,6.16389e+07
G,400,30,6.13429e+07
G,400,30,6.20021e+07
G,400,31,6.45193e+07
G,400,31,6.27599e+07
G,400,31,6.07864e+07
G,400,31,6.23628e+07
G,400,31,6.08417e+07
G,400,31,6.02013e+07
G,400,31,6.13865e+07
G,400,31,6.09109e+07
G,400,31,6.15015e+07
G,400,31,6.62848e+07
G,400,32,6.07768e+07
G,400,32,6.1292e+07
G,400,32,6.84924e+07
G,400,32,7.21597e+07
G,400,32,6.18733e+07
G,400,32,6.1885e+07
G,400,32,6.64202e+07
G,400,32,6.35946e+07
G,400,32,6.63899e+07
G,400,32,6.4058e+07
G,400,33,6.72767e+07
G,400,33,7.09958e+07
G,400,33,6.55244e+07
G,400,33,6.32575e+07
G,400,33,6.47852e+07
G,400,33,6.60611e+07
G,400,33,6.74008e+07
G,400,33,6.68809e+07
G,400,33,6.94512e+07
G,400,33,6.57989e+07
G,400,34,6.46796e+07
G,400,34,6.60103e+07
G,400,34,7.30249e+07
G,400,34,6.39817e+07
G,400,34,6.62749e+07
G,400,34,6.71868e+07
G,400,34,6.71095e+07
G,400,34,6.51348e+07
G,400,34,6.55591e+07
G,400,34,6.74118e+07
G,400,35,6.77517e+07
G,400,35,6.87869e+07
G,400,35,6.3946e+07
G,400,35,6.53769e+07
G,400,35,6.70602e+07
G,400,35,6.45964e+07
G,400,35,6.64327e+07
G,400,35,6.52217e+07
G,400,35,6.73605e+07
G,400,35,6.83728e+07
G,400,36,6.69715e+07
G,400,36,6.39527e+07
G,400,36,6.56913e+07
G,400,36,6.59898e+07
G,400,36,6.70799e+07
G,400,36,6.74233e+07
G,400,36,6.86296e+07
G,400,36,6.67141e+07
G,400,36,6.40665e+07
G,400,36,6.69821e+07
G,400,37,6.81858e+07
G,400,37,7.41435e+07
G,400,37,6.72143e+07
G,400,37,6.47982e+07
G,400,37,6.3178e+07
G,400,37,6.56544e+07
G,400,37,6.69939e+07
G,400,37,6.69662e+07
G,400,37,6.7411e+07
G,400,37,6.73928e+07
G,400,38,6.74284e+07
G,400,38,6.57286e+07
G,400,38,6.69543e+07
G,400,38,6.4615e+07
G,400,38,6.23652e+07
G,400,38,6.45259e+07
G,400,38,6.3471e+07
G,400,38,6.33724e+07
G,400,38,6.2937e+07
G,400,38,6.44853e+07
G,400,39,6.30493e+07
G,400,39,7.42849e+07
G,400,39,8.88701e+07
G,400,39,8.25617e+07
G,400,39,6.24733e+07
G,400,39,6.24263e+07
G,400,39,6.45593e+07
G,400,39,6.19423e+07
G,400,39,6.4275e+07
G,400,39,6.88778e+07
G,500,40,1.79619e+08
G,500,40,1.42116e+08
G,500,40,1.22542e+08
G,500,40,1.31997e+08
G,500,40,1.23828e+08
G,500,40,1.33864e+08
G,500,40,1.25042e+08
G,500,40,1.28755e+08
G,500,40,1.37561e+08
G,500,40,1.29506e+08
G,500,41,1.54062e+08
G,500,41,1.30883e+08
G,500,41,1.25223e+08
G,500,41,1.28384e+08
G,500,41,1.24977e+08
G,500,41,1.25059e+08
G,500,41,1.23213e+08
G,500,41,1.31069e+08
G,500,41,1.23987e+08
G,500,41,1.28522e+08
G,500,42,1.27325e+08
G,500,42,1.27807e+08
G,500,42,1.27269e+08
G,500,42,1.27898e+08
G,500,42,1.22668e+08
G,500,42,1.29699e+08
G,500,42,1.31239e+08
G,500,42,1.28174e+08
G,500,42,1.25278e+08
G,500,42,1.17743e+08
G,500,43,1.43428e+08
G,500,43,1.625e+08
G,500,43,1.78206e+08
G,500,43,1.42125e+08
G,500,43,1.21158e+08
G,500,43,1.21557e+08
G,500,43,1.21007e+08
G,500,43,1.27307e+08
G,500,43,1.92012e+08
G,500,43,1.66799e+08
G,500,44,1.43095e+08
G,500,44,1.5073e+08
G,500,44,1.57716e+08
G,500,44,1.54832e+08
G,500,44,1.68211e+08
G,500,44,1.24067e+08
G,500,44,1.27877e+08
G,500,44,1.57716e+08
G,500,44,2.14841e+08
G,500,44,1.26256e+08
G,500,45,1.27663e+08
G,500,45,1.27744e+08
G,500,45,1.25151e+08
G,500,45,1.27491e+08
G,500,45,1.26391e+08
G,500,45,1.30561e+08
G,500,45,1.81212e+08
G,500,45,4.49122e+08
G,500,45,4.39833e+08
G,500,45,2.24541e+08
G,500,46,1.5735e+08
G,500,46,1.26661e+08
G,500,46,1.50892e+08
G,500,46,1.33341e+08
G,500,46,1.26071e+08
G,500,46,1.28823e+08
G,500,46,1.25834e+08
G,500,46,1.22744e+08
G,500,46,1.2686e+08
G,500,46,1.5292e+08
G,500,47,1.29729e+08
G,500,47,1.20786e+08
G,500,47,1.22127e+08
G,500,47,1.23018e+08
G,500,47,1.28923e+08
G,500,47,1.23051e+08
G,500,47,1.32852e+08
G,500,47,3.21353e+08
G,500,47,1.2348e+08
G,500,47,1.34561e+08
G,500,48,1.66821e+08
G,500,48,1.71066e+08
G,500,48,2.86974e+08
G,500,48,1.21736e+08
G,500,48,1.28322e+08
G,500,48,1.30323e+08
