CompPpal,MetodoEleccion,NroPersona,VerdaderosP,FalsosN,FalsosP
1,KNN,1,0,3,3
1,KNN,2,1,2,5
1,KNN,3,0,3,1
1,KNN,4,0,3,5
1,KNN,5,1,2,6
1,KNN,6,2,1,1
1,KNN,7,0,3,2
1,KNN,8,0,3,3
1,KNN,9,0,3,5
1,KNN,10,0,3,3
1,KNN,11,0,3,1
1,KNN,12,0,3,4
1,KNN,13,1,2,1
1,KNN,14,0,3,5
1,KNN,15,1,2,1
1,KNN,16,0,3,1
1,KNN,17,0,3,1
1,KNN,18,1,2,1
1,KNN,19,0,3,1
1,KNN,20,0,3,6
1,KNN,21,1,2,3
1,KNN,22,2,1,3
1,KNN,23,1,2,2
1,KNN,24,0,3,2
1,KNN,25,1,2,7
1,KNN,26,0,3,1
1,KNN,27,0,3,4
1,KNN,28,0,3,1
1,KNN,29,0,3,0
1,KNN,30,2,1,2
1,KNN,31,0,3,1
1,KNN,32,0,3,0
1,KNN,33,1,2,0
1,KNN,34,0,3,3
1,KNN,35,1,2,3
1,KNN,36,0,3,2
1,KNN,37,0,3,3
1,KNN,38,1,2,4
1,KNN,39,1,2,3
1,KNN,40,0,3,3
1,KNN,41,1,2,1
1,V,1,0,3,3
1,V,2,1,2,5
1,V,3,0,3,0
1,V,4,1,2,5
1,V,5,1,2,6
1,V,6,2,1,1
1,V,7,0,3,2
1,V,8,0,3,3
1,V,9,0,3,4
1,V,10,0,3,3
1,V,11,0,3,2
1,V,12,0,3,5
1,V,13,1,2,0
1,V,14,0,3,5
1,V,15,1,2,1
1,V,16,0,3,1
1,V,17,0,3,1
1,V,18,1,2,1
1,V,19,0,3,1
1,V,20,0,3,6
1,V,21,1,2,3
1,V,22,2,1,4
1,V,23,1,2,1
1,V,24,0,3,2
1,V,25,1,2,7
1,V,26,0,3,0
1,V,27,0,3,5
1,V,28,0,3,1
1,V,29,0,3,0
1,V,30,2,1,2
1,V,31,0,3,1
1,V,32,0,3,0
1,V,33,1,2,0
1,V,34,0,3,1
1,V,35,1,2,4
1,V,36,0,3,2
1,V,37,0,3,3
1,V,38,1,2,4
1,V,39,1,2,3
1,V,40,0,3,3
1,V,41,2,1,1
4,KNN,1,1,2,0
4,KNN,2,2,1,3
4,KNN,3,1,2,1
4,KNN,4,3,0,4
4,KNN,5,3,0,2
4,KNN,6,3,0,0
4,KNN,7,2,1,2
4,KNN,8,3,0,1
4,KNN,9,3,0,0
4,KNN,10,2,1,0
4,KNN,11,3,0,3
4,KNN,12,1,2,3
4,KNN,13,3,0,0
4,KNN,14,2,1,0
4,KNN,15,3,0,0
4,KNN,16,1,2,1
4,KNN,17,3,0,1
4,KNN,18,2,1,0
4,KNN,19,0,3,0
4,KNN,20,1,2,1
4,KNN,21,3,0,0
4,KNN,22,3,0,2
4,KNN,23,1,2,2
4,KNN,24,3,0,0
4,KNN,25,1,2,2
4,KNN,26,0,3,0
4,KNN,27,1,2,2
4,KNN,28,1,2,1
4,KNN,29,2,1,2
4,KNN,30,2,1,1
4,KNN,31,2,1,0
4,KNN,32,2,1,1
4,KNN,33,3,0,0
4,KNN,34,1,2,0
4,KNN,35,1,2,0
4,KNN,36,1,2,0
4,KNN,37,3,0,1
4,KNN,38,3,0,2
4,KNN,39,2,1,0
4,KNN,40,2,1,3
4,KNN,41,3,0,0
4,V,1,1,2,0
4,V,2,2,1,2
4,V,3,1,2,1
4,V,4,3,0,4
4,V,5,2,1,1
4,V,6,3,0,0
4,V,7,2,1,2
4,V,8,3,0,1
4,V,9,3,0,0
4,V,10,2,1,0
4,V,11,2,1,2
4,V,12,1,2,3
4,V,13,3,0,0
4,V,14,2,1,0
4,V,15,3,0,0
4,V,16,1,2,0
4,V,17,3,0,1
4,V,18,2,1,0
4,V,19,0,3,0
4,V,20,2,1,1
4,V,21,3,0,0
4,V,22,3,0,1
4,V,23,2,1,2
4,V,24,3,0,1
4,V,25,1,2,2
4,V,26,0,3,0
4,V,27,2,1,2
4,V,28,1,2,1
4,V,29,2,1,1
4,V,30,2,1,1
4,V,31,2,1,0
4,V,32,3,0,1
4,V,33,3,0,0
4,V,34,2,1,0
4,V,35,1,2,0
4,V,36,2,1,0
4,V,37,3,0,1
4,V,38,2,1,1
4,V,39,3,0,0
4,V,40,3,0,4
4,V,41,3,0,0
7,KNN,1,1,2,0
7,KNN,2,3,0,1
7,KNN,3,3,0,2
7,KNN,4,3,0,0
7,KNN,5,2,1,1
7,KNN,6,3,0,0
7,KNN,7,3,0,0
7,KNN,8,3,0,0
7,KNN,9,3,0,0
7,KNN,10,2,1,0
7,KNN,11,3,0,2
7,KNN,12,3,0,0
7,KNN,13,3,0,0
7,KNN,14,2,1,0
7,KNN,15,3,0,0
7,KNN,16,1,2,1
7,KNN,17,3,0,1
7,KNN,18,3,0,1
7,KNN,19,1,2,0
7,KNN,20,2,1,0
7,KNN,21,3,0,1
7,KNN,22,3,0,0
