REDNORM,Corrida,XXTXTX,tiempo
RED,0,0,733391000
RED,1,0,532258000
RED,2,0,537747000
RED,3,0,533535000
RED,4,0,542343000
RED,5,0,533392000
RED,6,0,533653000
RED,7,0,536506000
RED,8,0,534905000
RED,9,0,550534000
RED,10,0,527202000
RED,11,0,540895000
RED,12,0,537685000
RED,13,0,544818000
RED,14,0,545710000
RED,15,0,540293000
RED,16,0,530124000
RED,17,0,537975000
RED,18,0,541986000
RED,19,0,536085000
RED,0,1,1226000000
RED,1,1,1228380000
RED,2,1,1219270000
RED,3,1,1234330000
RED,4,1,1213500000
RED,5,1,1221420000
RED,6,1,1236930000
RED,7,1,1212400000
RED,8,1,1213260000
RED,9,1,1238820000
RED,10,1,1247290000
RED,11,1,1239970000
RED,12,1,1224320000
RED,13,1,1222160000
RED,14,1,1219240000
RED,15,1,1235310000
RED,16,1,1211450000
RED,17,1,1306850000
RED,18,1,1214350000
RED,19,1,1215670000
NORM,0,0,7672070000
NORM,1,0,7673980000
NORM,2,0,7690610000
NORM,3,0,7677740000
NORM,4,0,7740570000
NORM,5,0,7667960000
NORM,6,0,7667240000
NORM,7,0,7682740000
NORM,8,0,7670540000
NORM,9,0,7673310000
NORM,10,0,7677590000
NORM,11,0,7689970000
NORM,12,0,8606400000
NORM,13,0,7671440000
NORM,14,0,7665730000
NORM,15,0,7668870000
NORM,16,0,7727530000
NORM,17,0,7667970000
NORM,18,0,7672770000
NORM,19,0,7715180000
NORM,0,1,1087380000000
NORM,1,1,1089180000000
NORM,2,1,1096290000000
NORM,3,1,1066450000000
NORM,4,1,1065050000000
NORM,5,1,1069630000000
NORM,6,1,1062630000000
NORM,7,1,1064340000000
NORM,8,1,1056770000000
NORM,9,1,1081700000000
NORM,10,1,1068480000000
NORM,11,1,1057020000000
NORM,12,1,1057920000000
NORM,13,1,1072090000000
NORM,14,1,1071040000000
NORM,15,1,1059640000000
NORM,16,1,1070790000000
NORM,17,1,1058160000000
NORM,18,1,1072590000000
NORM,19,1,1054780000000
