Time,Argentina,China,Estados Unidos,Japon,India
1960,48815.104,780726.302,2890696.1,232781.16,120581.961
1961,51180.319,552066.85,2880505.507,283118.069,130402.187
1962,53695.881,440359.029,2987207.873,293220.654,143467.708
1963,50083.886,436695.696,3119230.874,325222.563,154083.673
1964,55727.399,436923.05,3255995.306,359318.329,150647.694
1965,58866.351,475972.933,3390922.571,386919.838,165972.087
1966,63138.406,522789.522,3561878.111,419743.155,171765.947
1967,65543.958,433234.048,3695708.943,489881.864,172238.99
1968,69082.613,468928.626,3831354.94,562565.471,187336.029
1969,77329.696,577237.138,4024748.853,653958.112,190724.337
1970,82734.854,771617.474,4328904.501,768823.22,195143.072
1971,88939.418,876633.02,4356770.034,797543.164,205869.047
1972,90156.862,931575.681,4564952.958,853373.239,217849.136
1973,94065.884,968542.708,4770194.948,915748.909,224343.393
1974,95569.354,988014.478,4598487.673,915873.587,231992.755
1975,94931.296,1145607.47,4406329.539,870072.757,252201.592
1976,99786.404,1196193.735,4613100.668,908902.62,263785.645
1977,100791.162,1310310.775,4742292.745,935213.345,279051.366
1978,102639.33,1462168.579,4890861.25,903886.164,283096.067
1979,110703.063,1494859.884,4901796.244,955620.2,296891.321
1980,108737.551,1467192.369,4723209.677,947571.135,314016.211
1981,102041.609,1451501.276,4535800.308,929606.502,338838.134
1982,103424.068,1580260.647,4306748.487,900200.829,349637.449
1983,105213.564,1667029.201,4341878.347,883838.675,378669.088
1984,106522.683,1814908.31,4475192.132,940130.792,388118.947
1985,100596.811,1966553.428,4492555.377,915396.877,426673.785
1986,104212.473,2068969.071,4495463.308,915334.538,457571.927
1987,114942.115,2209708.531,4688373.177,905734.332,488481.07
1988,121473.042,2369501.723,4892526.068,989081.575,527563.956
1989,117090.977,2408540.605,4955081.421,1025549.89,579008.299
1990,112613.57,2460744.017,4823557.132,1096179.977,619154.615
1991,117021.304,2584538.27,4822383.692,1099381.268,658189.83
1992,121447.373,2695982.067,4911103.09,1123847.492,699087.881
1993,118609.115,2878694.009,5032931.831,1109887.223,723697.118
1994,123350.546,3058241.33,5098475.789,1173315.322,764730.848
1995,127963.632,3320285.15,5138009.716,1183447.243,811562.105
1996,135000.605,3463089.131,5260696.535,1204690.174,882324.204
1997,138003.878,3469510.048,5375235.28,1200788.486,917685.085
1998,139815.376,3324344.519,5410918.857,1157829.581,936221.77
1999,146984.361,3318055.614,5510430.236,1196516.431,995766.516
2000,142136.587,3405179.867,5701829.301,1220527.947,1031853.463
2001,133720.822,3487566.356,5601404.839,1203377.388,1041152.975
2002,124714.67,3694242.143,5648727.474,1220047.57,1054258.833
2003,135062.944,4525177.009,5679222.246,1242093.574,1099597.621
2004,157589.325,5288166.032,5763456.903,1266009.748,1154320.262
2005,162110.736,5790016.984,5795161.785,1239255.316,1222563.132
2006,175436.614,6414463.08,5703871.82,1231495.944,1303717.509
2007,175176.257,6791804.714,5794923.43,1252229.162,1407607.286
2008,189107.19,7175658.94,5622464.42,1210135.669,1568379.567
2009,179961.692,7618683.878,5274128.756,1103693.66,1738645.711
2010,187919.082,8767877.674,5408869.004,1171841.188,1719690.988
2011,191633.753,9724590.64,5305279.921,1191056.268,1846763.539
2012,192359.819,10020744.894,5115806.031,1229574.436,2018503.817
