Emision,Temperatura
780726.3,6.8909166667
552066.9,7.0505833333
440359,6.7036666667
436695.7,7.0525
436923.1,6.7460833333
475972.9,6.7999166667
522789.5,6.962
433234,6.4025833333
468928.6,6.727
577237.1,6.456
771617.5,6.5681666667
876633,6.84625
931575.7,6.8144166667
968542.7,7.2095833333
988014.5,6.6594166667
1145607.5,7.1009166667
1196193.7,6.4711666667
1310310.8,6.8513333333
1462168.6,7.0481666667
1494859.9,7.0740833333
1467192.4,6.9500833333
1451501.3,6.9264166667
1580260.6,7.14975
1667029.2,6.9250833333
1814908.3,6.5179166667
1966553.4,6.74025
2068969.1,6.8701666667
2209708.5,7.249
2369501.7,7.2208333333
2408540.6,7.23975
2460744,7.636
2584538.3,7.0971666667
2695982.1,6.8584166667
2878694,6.9194166667
3058241.3,7.496
3320285.2,7.2115833333
3463089.1,6.9626666667
3469510,7.3673333333
3324344.5,8.0518333333
3318055.6,7.84025
3405179.9,7.2380833333
3487566.4,7.5964166667
3694242.1,7.7956666667
4525177,7.522
5288166,7.71275
5790017,7.4135
6414463.1,7.948
6791804.7,8.12675
7175658.9,7.5660833333
7618683.9,7.8095
8767877.7,7.5484166667
9724590.6,7.3570833333
10020744.9,7.0770833333
2890696.1,8.69225
2880505.5,8.642
2987207.9,8.9565
3119230.9,9.08
3255995.3,8.4916666667
3390922.6,8.6476666667
3561878.1,8.483
3695708.9,8.902
3831354.9,8.55325
4024748.9,8.7708333333
4328904.5,8.673
4356770,8.4425
4564953,8.4280833333
4770194.9,8.9346666667
4598487.7,8.8159166667
4406329.5,8.431
4613100.7,8.65125
4742292.7,9.2698333333
4890861.3,8.7514166667
4901796.2,8.5715833333
4723209.7,9.1355
4535800.3,9.7215
4306748.5,8.5395
4341878.3,8.9123333333
4475192.1,8.8111666667
4492555.4,8.587
4495463.3,9.5595
4688373.2,9.6281666667
4892526.1,9.2753333333
4955081.4,8.8730833333
4823557.1,9.5215833333
4822383.7,9.4936666667
4911103.1,9.0563333333
5032931.8,8.86725
5098475.8,9.2703333333
5138009.7,9.331
5260696.5,8.7543333333
5375235.3,9.1729166667
5410918.9,10.1411666667
5510430.2,9.567
5701829.3,9.64975
5601404.8,9.7855833333
5648727.5,9.8161666667
5679222.2,9.7550833333
5763456.9,9.6675
5795161.8,9.8926666667
5703871.8,9.9745
5794923.4,9.8375
5622464.4,8.9514166667
5274128.8,9.1370833333
5408869,9.5055833333
5305279.9,9.5499166667
5115806,10.2610833333
48815.1,14.9936666667
51180.3,14.9729166667
53695.9,14.8524166667
50083.9,14.8471666667
55727.4,14.43125
58866.4,14.9095833333
63138.4,14.678
65544,15.04975
69082.6,15.1969166667
77329.7,15.2628333333
82734.9,15.1953333333
88939.4,14.6511666667
90156.9,14.8184166667
94065.9,14.5979166667
95569.4,14.6376666667
94931.3,14.9396666667
99786.4,14.44025
100791.2,15.35125
102639.3,15.1860833333
110703.1,14.9746666667
108737.6,15.2269166667
102041.6,15.1674166667
103424.1,15.25675
105213.6,14.9543333333
106522.7,14.4008333333
100596.8,15.32625
104212.5,15.33475
114942.1,15.1875
121473,14.8363333333
117091,15.543
112613.6,15.1550833333
117021.3,15.0975833333
121447.4,14.7391666667
118609.1,15.0986666667
123350.5,15.5786666667
127963.6,15.1498333333
135000.6,15.2115833333
138003.9,15.6206666667
139815.4,15.26175
146984.4,15.0649166667
142136.6,14.7505
133720.8,15.3704166667
124714.7,15.18375
135062.9,15.5183333333
157589.3,15.4421666667
162110.7,15.1128333333
175436.6,15.5610833333
175176.3,14.6280833333
189107.2,15.476
179961.7,15.5344166667
187919.1,15.0788333333
191633.8,15.3396666667
192359.8,15.689
232781.2,12.5998333333
283118.1,13.0455
293220.7,12.4661666667
325222.6,12.29325
359318.3,12.34975
386919.8,11.6879166667
419743.2,12.1344166667
489881.9,12.2663333333
562565.5,12.1904166667
653958.1,11.849
768823.2,11.929
797543.2,11.9834166667
853373.2,12.5921666667
915748.9,12.41475
915873.6,11.7905
870072.8,12.337
908902.6,11.7475
935213.3,12.19825
903886.2,12.5053333333
955620.2,12.8425833333
947571.1,11.7950833333
929606.5,11.6294166667
900200.8,12.3363333333
883838.7,12.1219166667
940130.8,11.6599166667
915396.9,12.2813333333
915334.5,11.6914166667
905734.3,12.5438333333
989081.6,11.9676666667
1025549.9,12.91175
1096180,13.5905833333
1099381.3,12.7831666667
1123847.5,12.48425
1109887.2,12.0551666667
1173315.3,13.22975
1183447.2,12.4754166667
1204690.2,12.0828333333
1200788.5,12.7524166667
1157829.6,13.24475
1196516.4,13.0800833333
1220527.9,12.8338333333
1203377.4,12.45
1220047.6,12.8373333333
1242093.6,12.507
1266009.7,13.4356666667
1239255.3,12.5559166667
1231495.9,12.7570833333
1252229.2,13.1921666667
1210135.7,12.8749166667
1103693.7,12.9338333333
1171841.2,13.2155833333
1191056.3,12.73775
1229574.4,12.5656666667
120582,24.2871666667
130402.2,23.81525
143467.7,23.88475
154083.7,24.09575
150647.7,24.0705
165972.1,24.0909166667
171765.9,24.4385833333
172239,23.9920833333
187336,23.86475
190724.3,24.5011666667
195143.1,24.0740833333
205869,23.634
217849.1,24.2721666667
224343.4,24.3865833333
231992.8,24.17575
252201.6,23.8621666667
263785.6,24.1995833333
279051.4,24.2889166667
283096.1,24.0073333333
296891.3,24.5535833333
314016.2,24.5930833333
338838.1,24.2284166667
349637.4,24.21825
378669.1,23.938
388118.9,24.1850833333
426673.8,24.4863333333
457571.9,24.2945
488481.1,24.7890833333
527564,24.72775
579008.3,24.1623333333
619154.6,24.1781666667
658189.8,24.31175
699087.9,24.2229166667
723697.1,24.4086666667
764730.8,24.2964166667
811562.1,24.42975
882324.2,24.4369166667
917685.1,24.0473333333
936221.8,24.7554166667
995766.5,24.6598333333
1031853.5,24.498
1041153,24.5819166667
1054258.8,24.913
1099597.6,24.6499166667
1154320.3,24.6345833333
1222563.1,24.4954166667
1303717.5,24.7320833333
1407607.3,24.6499166667
1568379.6,24.406
1738645.7,25.1466666667
1719691,25.0508333333
1846763.5,24.4155833333
2018503.8,24.6408333333
