Año,Temperatura,Emision
1960,14.9936666667,48815.104
1961,14.9729166667,51180.319
1962,14.8524166667,53695.881
1963,14.8471666667,50083.886
1964,14.43125,55727.399
1965,14.9095833333,58866.351
1966,14.678,63138.406
1967,15.04975,65543.958
1968,15.1969166667,69082.613
1969,15.2628333333,77329.696
1970,15.1953333333,82734.854
1971,14.6511666667,88939.418
1972,14.8184166667,90156.862
1973,14.5979166667,94065.884
1974,14.6376666667,95569.354
1975,14.9396666667,94931.296
1976,14.44025,99786.404
1977,15.35125,100791.162
1978,15.1860833333,102639.33
1979,14.9746666667,110703.063
1980,15.2269166667,108737.551
1981,15.1674166667,102041.609
1982,15.25675,103424.068
1983,14.9543333333,105213.564
1984,14.4008333333,106522.683
1985,15.32625,100596.811
1986,15.33475,104212.473
1987,15.1875,114942.115
1988,14.8363333333,121473.042
1989,15.543,117090.977
1990,15.1550833333,112613.57
1991,15.0975833333,117021.304
1992,14.7391666667,121447.373
1993,15.0986666667,118609.115
1994,15.5786666667,123350.546
1995,15.1498333333,127963.632
1996,15.2115833333,135000.605
1997,15.6206666667,138003.878
1998,15.26175,139815.376
1999,15.0649166667,146984.361
2000,14.7505,142136.587
2001,15.3704166667,133720.822
2002,15.18375,124714.67
2003,15.5183333333,135062.944
2004,15.4421666667,157589.325
2005,15.1128333333,162110.736
2006,15.5610833333,175436.614
2007,14.6280833333,175176.257
2008,15.476,189107.19
2009,15.5344166667,179961.692
2010,15.0788333333,187919.082
2011,15.3396666667,191633.753
2012,15.689,192359.819
