Año,Temperatura,Emision
1960,8.69225,2890696.1
1961,8.642,2880505.507
1962,8.9565,2987207.873
1963,9.08,3119230.874
1964,8.4916666667,3255995.306
1965,8.6476666667,3390922.571
1966,8.483,3561878.111
1967,8.902,3695708.943
1968,8.55325,3831354.94
1969,8.7708333333,4024748.853
1970,8.673,4328904.501
1971,8.4425,4356770.034
1972,8.4280833333,4564952.958
1973,8.9346666667,4770194.948
1974,8.8159166667,4598487.673
1975,8.431,4406329.539
1976,8.65125,4613100.668
1977,9.2698333333,4742292.745
1978,8.7514166667,4890861.25
1979,8.5715833333,4901796.244
1980,9.1355,4723209.677
1981,9.7215,4535800.308
1982,8.5395,4306748.487
1983,8.9123333333,4341878.347
1984,8.8111666667,4475192.132
1985,8.587,4492555.377
1986,9.5595,4495463.308
1987,9.6281666667,4688373.177
1988,9.2753333333,4892526.068
1989,8.8730833333,4955081.421
1990,9.5215833333,4823557.132
1991,9.4936666667,4822383.692
1992,9.0563333333,4911103.09
1993,8.86725,5032931.831
1994,9.2703333333,5098475.789
1995,9.331,5138009.716
1996,8.7543333333,5260696.535
1997,9.1729166667,5375235.28
1998,10.1411666667,5410918.857
1999,9.567,5510430.236
2000,9.64975,5701829.301
2001,9.7855833333,5601404.839
2002,9.8161666667,5648727.474
2003,9.7550833333,5679222.246
2004,9.6675,5763456.903
2005,9.8926666667,5795161.785
2006,9.9745,5703871.82
2007,9.8375,5794923.43
2008,8.9514166667,5622464.42
2009,9.1370833333,5274128.756
2010,9.5055833333,5408869.004
2011,9.5499166667,5305279.921
2012,10.2610833333,5115806.031
