Año,Temperatura,Emision
1960,24.2871666667,120581.961
1961,23.81525,130402.187
1962,23.88475,143467.708
1963,24.09575,154083.673
1964,24.0705,150647.694
1965,24.0909166667,165972.087
1966,24.4385833333,171765.947
1967,23.9920833333,172238.99
1968,23.86475,187336.029
1969,24.5011666667,190724.337
1970,24.0740833333,195143.072
1971,23.634,205869.047
1972,24.2721666667,217849.136
1973,24.3865833333,224343.393
1974,24.17575,231992.755
1975,23.8621666667,252201.592
1976,24.1995833333,263785.645
1977,24.2889166667,279051.366
1978,24.0073333333,283096.067
1979,24.5535833333,296891.321
1980,24.5930833333,314016.211
1981,24.2284166667,338838.134
1982,24.21825,349637.449
1983,23.938,378669.088
1984,24.1850833333,388118.947
1985,24.4863333333,426673.785
1986,24.2945,457571.927
1987,24.7890833333,488481.07
1988,24.72775,527563.956
1989,24.1623333333,579008.299
1990,24.1781666667,619154.615
1991,24.31175,658189.83
1992,24.2229166667,699087.881
1993,24.4086666667,723697.118
1994,24.2964166667,764730.848
1995,24.42975,811562.105
1996,24.4369166667,882324.204
1997,24.0473333333,917685.085
1998,24.7554166667,936221.77
1999,24.6598333333,995766.516
2000,24.498,1031853.463
2001,24.5819166667,1041152.975
2002,24.913,1054258.833
2003,24.6499166667,1099597.621
2004,24.6345833333,1154320.262
2005,24.4954166667,1222563.132
2006,24.7320833333,1303717.509
2007,24.6499166667,1407607.286
2008,24.406,1568379.567
2009,25.1466666667,1738645.711
2010,25.0508333333,1719690.988
2011,24.4155833333,1846763.539
2012,24.6408333333,2018503.817
