Año,Temperatura,Emision
1960,12.5998333333,232781.16
1961,13.0455,283118.069
1962,12.4661666667,293220.654
1963,12.29325,325222.563
1964,12.34975,359318.329
1965,11.6879166667,386919.838
1966,12.1344166667,419743.155
1967,12.2663333333,489881.864
1968,12.1904166667,562565.471
1969,11.849,653958.112
1970,11.929,768823.22
1971,11.9834166667,797543.164
1972,12.5921666667,853373.239
1973,12.41475,915748.909
1974,11.7905,915873.587
1975,12.337,870072.757
1976,11.7475,908902.62
1977,12.19825,935213.345
1978,12.5053333333,903886.164
1979,12.8425833333,955620.2
1980,11.7950833333,947571.135
1981,11.6294166667,929606.502
1982,12.3363333333,900200.829
1983,12.1219166667,883838.675
1984,11.6599166667,940130.792
1985,12.2813333333,915396.877
1986,11.6914166667,915334.538
1987,12.5438333333,905734.332
1988,11.9676666667,989081.575
1989,12.91175,1025549.89
1990,13.5905833333,1096179.977
1991,12.7831666667,1099381.268
1992,12.48425,1123847.492
1993,12.0551666667,1109887.223
1994,13.22975,1173315.322
1995,12.4754166667,1183447.243
1996,12.0828333333,1204690.174
1997,12.7524166667,1200788.486
1998,13.24475,1157829.581
1999,13.0800833333,1196516.431
2000,12.8338333333,1220527.947
2001,12.45,1203377.388
2002,12.8373333333,1220047.57
2003,12.507,1242093.574
2004,13.4356666667,1266009.748
2005,12.5559166667,1239255.316
2006,12.7570833333,1231495.944
2007,13.1921666667,1252229.162
2008,12.8749166667,1210135.669
2009,12.9338333333,1103693.66
2010,13.2155833333,1171841.188
2011,12.73775,1191056.268
2012,12.5656666667,1229574.436
